review_id,date,platform,sku_id,rating,review_text
R0094,2026-08-14,JD,SKU001,3,包装有凹陷，口感也一般。
R0095,2026-08-20,JD,SKU005,5,冷藏送达，包装完整。
R0096,2026-08-27,JD,SKU002,3,包装容易碎。
R0097,2026-08-10,Tmall,SKU005,3,保质期比预期短。
R0098,2026-08-20,Tmall,SKU004,4,水分充足，包装密封不错。
R0099,2026-08-12,Tmall,SKU005,5,口感浓郁，不会太甜。
R0100,2026-08-18,Tmall,SKU002,5,早餐吃很方便，饱腹感不错。
R0101,2026-08-08,JD,SKU004,3,到货速度比较慢。
R0102,2026-08-27,Tmall,SKU001,2,最近买到的气泡不足。
R0103,2026-08-03,Douyin,SKU001,3,这次的味道比以前淡。
R0104,2026-08-10,JD,SKU002,4,燕麦口感很好，不会太甜。
R0105,2026-08-27,Tmall,SKU001,1,最近买到的气泡不足。
R0106,2026-08-26,JD,SKU003,4,香味自然，控油效果可以。
R0107,2026-08-28,Tmall,SKU001,1,最近买到的气泡不足。
R0108,2026-08-21,Douyin,SKU002,4,燕麦口感很好，不会太甜。
R0109,2026-08-20,JD,SKU003,4,包装设计很好看。
R0110,2026-08-27,JD,SKU001,2,最近买到的气泡不足。
R0111,2026-08-13,JD,SKU001,5,无糖但不难喝，会继续购买。
R0112,2026-08-28,Douyin,SKU004,5,水分充足，包装密封不错。
R0113,2026-08-05,Tmall,SKU002,3,口感有点干。
R0114,2026-08-30,JD,SKU001,2,包装有凹陷，口感也一般。
R0115,2026-08-20,Tmall,SKU004,5,水分充足，包装密封不错。
R0116,2026-08-28,Tmall,SKU005,4,口感浓郁，不会太甜。
R0117,2026-08-29,Tmall,SKU004,5,水分充足，包装密封不错。
R0118,2026-08-09,Tmall,SKU001,4,口感清爽，青柠味很好。
R0119,2026-08-19,Douyin,SKU005,5,蛋白质含量高，早餐很方便。
R0120,2026-08-17,Douyin,SKU003,5,清洁效果不错，洗完很清爽。
R0121,2026-08-24,Douyin,SKU004,4,水分充足，包装密封不错。
R0122,2026-08-22,Douyin,SKU003,5,清洁效果不错，洗完很清爽。
R0123,2026-08-02,Douyin,SKU005,3,价格比普通酸奶高。
R0124,2026-08-28,Douyin,SKU002,5,燕麦口感很好，不会太甜。
R0125,2026-08-25,Tmall,SKU002,5,燕麦口感很好，不会太甜。
R0126,2026-08-09,JD,SKU002,3,包装容易碎。
R0127,2026-08-21,Douyin,SKU002,5,燕麦口感很好，不会太甜。
R0128,2026-08-15,Tmall,SKU002,5,独立包装适合带去办公室。
R0129,2026-08-28,Tmall,SKU004,5,水分充足，包装密封不错。
R0130,2026-08-16,Tmall,SKU003,3,控油效果不够持久。
R0131,2026-08-02,JD,SKU004,5,家庭使用很方便。
R0132,2026-08-26,Tmall,SKU001,2,包装有凹陷，口感也一般。
R0133,2026-08-21,Tmall,SKU005,5,口感浓郁，不会太甜。
R0134,2026-08-27,Tmall,SKU003,4,香味自然，控油效果可以。
R0135,2026-08-25,Douyin,SKU003,5,包装设计很好看。
R0136,2026-08-22,Douyin,SKU004,4,家庭使用很方便。
R0137,2026-08-04,Tmall,SKU004,4,湿巾柔软，宝宝使用没有不适。
R0138,2026-08-27,JD,SKU003,4,包装设计很好看。
R0139,2026-08-23,JD,SKU005,3,保质期比预期短。
R0140,2026-08-05,JD,SKU002,5,早餐吃很方便，饱腹感不错。
R0141,2026-08-07,Douyin,SKU003,4,清洁效果不错，洗完很清爽。
R0142,2026-08-15,Tmall,SKU004,4,家庭使用很方便。
R0143,2026-08-25,Tmall,SKU003,5,清洁效果不错，洗完很清爽。
R0144,2026-08-25,Tmall,SKU005,5,口感浓郁，不会太甜。
R0145,2026-08-05,Douyin,SKU005,5,蛋白质含量高，早餐很方便。
R0146,2026-08-02,Douyin,SKU005,5,口感浓郁，不会太甜。
R0147,2026-08-30,JD,SKU005,5,蛋白质含量高，早餐很方便。
R0148,2026-08-24,Tmall,SKU005,4,蛋白质含量高，早餐很方便。
R0149,2026-08-20,Douyin,SKU004,5,水分充足，包装密封不错。
R0150,2026-08-14,JD,SKU005,5,冷藏送达，包装完整。
R0151,2026-08-13,JD,SKU002,4,燕麦口感很好，不会太甜。
R0152,2026-08-05,Tmall,SKU004,5,家庭使用很方便。
R0153,2026-08-27,JD,SKU005,5,口感浓郁，不会太甜。
R0154,2026-08-07,Douyin,SKU005,4,蛋白质含量高，早餐很方便。
R0155,2026-08-10,Douyin,SKU005,4,冷藏送达，包装完整。
R0156,2026-08-21,Douyin,SKU002,4,独立包装适合带去办公室。
R0157,2026-08-21,Douyin,SKU005,4,冷藏送达，包装完整。
R0158,2026-08-18,JD,SKU001,5,气泡很足，夏天喝很合适。
R0159,2026-08-23,Douyin,SKU005,5,冷藏送达，包装完整。
R0160,2026-08-29,JD,SKU005,5,蛋白质含量高，早餐很方便。
